Loading solver states for value-error benchmarking...
Run 'twonet': iterations=300, temperature_moves=6, noise_frac=0.25, teacher_side=None, extra_iterations_side=None
iter  109/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1452, policy_loss=0.5935, value_error_vs_solver=0.4754 (X=0.4523, O=0.4985), elapsed=4.0s
iter  110/300: games={'X': 17, 'O': 1, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1446, policy_loss=0.5925, value_error_vs_solver=0.4915 (X=0.4667, O=0.5162), elapsed=5.4s
iter  111/300: games={'X': 16, 'O': 2, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1440, policy_loss=0.5913, value_error_vs_solver=0.5121 (X=0.5405, O=0.4838), elapsed=5.1s
iter  112/300: games={'X': 18, 'O': 1, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1428, policy_loss=0.5911, value_error_vs_solver=0.4394 (X=0.4584, O=0.4203), elapsed=4.8s
iter  113/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1416, policy_loss=0.5889, value_error_vs_solver=0.4585 (X=0.4964, O=0.4205), elapsed=5.2s
iter  114/300: games={'X': 17, 'O': 2, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1398, policy_loss=0.5880, value_error_vs_solver=0.5153 (X=0.5881, O=0.4425), elapsed=5.0s
iter  115/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1400, policy_loss=0.5870, value_error_vs_solver=0.4717 (X=0.5004, O=0.4430), elapsed=4.7s
iter  116/300: games={'X': 19, 'O': 1, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1384, policy_loss=0.5865, value_error_vs_solver=0.5019 (X=0.5241, O=0.4798), elapsed=4.9s
iter  117/300: games={'X': 20, 'O': 0, 'draw': 0}, buffer_x=8000, buffer_o=8000, value_loss=0.1366, policy_loss=0.5855, value_error_vs_solver=0.5073 (X=0.5342, O=0.4805), elapsed=5.1s
iter  118/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1358, policy_loss=0.5853, value_error_vs_solver=0.5238 (X=0.5713, O=0.4762), elapsed=6.2s
iter  119/300: games={'X': 19, 'O': 0, 'draw': 1}, buffer_x=8000, buffer_o=8000, value_loss=0.1335, policy_loss=0.5840, value_error_vs_solver=0.4912 (X=0.5774, O=0.4050), elapsed=5.9s
iter  120/300: games={'X': 18, 'O': 0, 'draw': 2}, buffer_x=8000, buffer_o=8000, value_loss=0.1316, policy_loss=0.5820, value_error_vs_solver=0.5611 (X=0.5863, O=0.5360), elapsed=5.7s
